USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.0  0.0  23248 13428 ?        Ss   14:32   0:01 /sbin/init splash
root         302  0.0  0.0      0     0 ?        I<   14:32   0:00 [kworker/R-scsi_]
root         303  0.0  0.0      0     0 ?        S    14:32   0:00 [usb-storage]
root         304  0.0  0.0      0     0 ?        I<   14:32   0:00 [kworker/R-uas]
root         335  0.0  0.0      0     0 ?        I<   14:32   0:00 [kworker/R-raid5]
root         385  0.0  0.0      0     0 ?        S    14:32   0:00 [jbd2/sdb3-8]
root         386  0.0  0.0      0     0 ?        I<   14:32   0:00 [kworker/R-ext4-]
root         447  0.0  0.0  83496 17076 ?        S<s  14:32   0:00 /usr/lib/systemd/systemd-journald
root         478  0.0  0.0      0     0 ?        I<   14:32   0:00 [kworker/R-rpcio]
root         479  0.0  0.0      0     0 ?        I<   14:32   0:00 [kworker/R-xprti]
root         481  0.0  0.0      0     0 ?        I<   14:32   0:00 [kworker/R-nvme-]
root         482  0.0  0.0      0     0 ?        I<   14:32   0:00 [kworker/R-nvme-]
root         483  0.0  0.0      0     0 ?        I<   14:32   0:00 [kworker/R-nvme-]
root         484  0.0  0.0      0     0 ?        I<   14:32   0:00 [kworker/R-nvme-]
root         530  0.0  0.0  30108  8064 ?        Ss   14:32   0:00 /usr/lib/systemd/systemd-udevd
root         533  0.0  0.0      0     0 ?        S    14:32   0:00 [psimon]
root         902  0.0  0.0      0     0 ?        S    14:32   0:00 [jbd2/sda1-8]
root         903  0.0  0.0      0     0 ?        I<   14:32   0:00 [kworker/R-ext4-]
root         916  0.0  0.0      0     0 ?        I<   14:32   0:00 [kworker/R-amdgp]
root         920  0.0  0.0      0     0 ?        S    14:32   0:00 [jbd2/sdb4-8]
root         921  0.0  0.0      0     0 ?        I<   14:32   0:00 [kworker/R-ext4-]
root         925  0.0  0.0      0     0 ?        I<   14:32   0:00 [kworker/R-ttm]
root         926  0.0  0.0      0     0 ?        I<   14:32   0:00 [kworker/R-amdgp]
root         927  0.0  0.0      0     0 ?        I<   14:32   0:00 [kworker/R-amdgp]
root         928  0.0  0.0      0     0 ?        I<   14:32   0:00 [kworker/R-amdgp]
root         929  0.0  0.0      0     0 ?        I<   14:32   0:00 [kworker/R-dm_vb]
root         930  0.0  0.0      0     0 ?        S    14:32   0:00 [card1-crtc0]
root         931  0.0  0.0      0     0 ?        S    14:32   0:00 [card1-crtc1]
root         932  0.0  0.0      0     0 ?        S    14:32   0:00 [card1-crtc2]
root         933  0.0  0.0      0     0 ?        S    14:32   0:00 [card1-crtc3]
root         944  0.0  0.0      0     0 ?        S<   14:32   0:00 [spl_system_task]
root         945  0.0  0.0      0     0 ?        S<   14:32   0:00 [spl_delay_taskq]
root         946  0.0  0.0      0     0 ?        S<   14:32   0:00 [spl_dynamic_tas]
root         947  0.0  0.0      0     0 ?        S<   14:32   0:00 [spl_kmem_cache]
root         949  0.0  0.0      0     0 ?        S<   14:32   0:00 [zvol]
root         950  0.0  0.0      0     0 ?        S    14:32   0:00 [arc_prune]
root         951  0.0  0.0      0     0 ?        S    14:32   0:00 [arc_evict]
root         952  0.0  0.0      0     0 ?        SN   14:32   0:00 [arc_reap]
root         953  0.0  0.0      0     0 ?        S    14:32   0:00 [dbu_evict]
root         954  0.0  0.0      0     0 ?        SN   14:32   0:00 [dbuf_evict]
root         955  0.0  0.0      0     0 ?        SN   14:32   0:00 [z_vdev_file]
root         956  0.0  0.0      0     0 ?        S    14:32   0:00 [l2arc_feed]
_rpc        1064  0.0  0.0   7968  3968 ?        Ss   14:32   0:00 /sbin/rpcbind -f -w
systemd+    1081  0.0  0.0  21828 12800 ?        Ss   14:32   0:00 /usr/lib/systemd/systemd-resolved
systemd+    1082  0.0  0.0  91560  8064 ?        Ssl  14:32   0:00 /usr/lib/systemd/systemd-timesyncd
root        1104  0.0  0.0   5140  1536 ?        Ss   14:32   0:00 /usr/sbin/blkmapd
root        1131  0.0  0.0   5632  2816 ?        Ss   14:32   0:00 /usr/sbin/nfsdcld
root        1170  0.0  0.0 316472  8008 ?        Ssl  14:32   0:00 /usr/libexec/accounts-daemon
avahi       1172  0.0  0.0   8768  4096 ?        Ss   14:32   0:00 avahi-daemon: running [a108pc12.local]
message+    1174  0.0  0.0  11816  5632 ?        Ss   14:32   0:00 @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
root        1177  0.0  0.0   5428  3456 ?        Ss   14:32   0:00 /usr/sbin/fsidd
root        1181  0.0  0.0  83016  4096 ?        Ssl  14:32   0:00 /usr/sbin/irqbalance
polkitd     1203  0.0  0.0 311308 10452 ?        Ssl  14:32   0:00 /usr/lib/polkit-1/polkitd --no-debug
root        1204  0.0  0.0 316380  7424 ?        Ssl  14:32   0:00 /usr/libexec/power-profiles-daemon
prometh+    1210  0.0  0.0 1684852 14976 ?       Ssl  14:32   0:00 /usr/bin/prometheus-node-exporter
root        1218  0.0  0.0  12560  6656 ?        Ss   14:32   0:00 /usr/sbin/smartd -n
root        1222  0.0  0.0 312468  6528 ?        Ssl  14:32   0:00 /usr/libexec/switcheroo-control
root        1223  0.0  0.0  18132  8916 ?        Ss   14:32   0:00 /usr/lib/systemd/systemd-logind
root        1224  0.0  0.0  17540  7808 ?        Ss   14:32   0:00 /usr/lib/systemd/systemd-machined
root        1228  0.0  0.0 258808 14208 ?        Ssl  14:32   0:01 /usr/bin/touchegg --daemon
root        1237  0.0  0.0 469452 14632 ?        Ssl  14:32   0:00 /usr/libexec/udisks2/udisksd
root        1239  0.0  0.0  76492 14976 ?        Ss   14:32   0:00 /usr/sbin/virtlockd
root        1243  0.0  0.0  76496 14848 ?        Ss   14:32   0:00 /usr/sbin/virtlogd
root        1245  0.0  0.0 102120  5248 ?        Ssl  14:32   0:00 zed -F
avahi       1257  0.0  0.0   8424  1280 ?        S    14:32   0:00 avahi-daemon: chroot helper
syslog      1290  0.0  0.0 222508  5888 ?        Ssl  14:32   0:00 /usr/sbin/rsyslogd -n -iNONE
root        1825  0.0  0.0 340828 20208 ?        Ssl  14:32   0:00 /usr/sbin/NetworkManager --no-daemon
root        1826  0.0  0.0  17380  6144 ?        Ss   14:32   0:00 /usr/sbin/wpa_supplicant -u -s -O DIR=/run/wpa_supplicant GROUP=netdev
root        1852  0.0  0.0 318356 12128 ?        Ssl  14:32   0:00 /usr/sbin/ModemManager
root        1975  0.0  0.0      0     0 ?        S    14:32   0:00 [psimon]
root        1980  0.0  0.0      0     0 ?        I    14:32   0:01 [kworker/u64:2-sdma0]
root        1984  0.0  0.0  40696 11904 ?        Ss   14:32   0:00 /usr/sbin/cupsd -l
root        1994  0.0  0.1 2467792 48788 ?       Ssl  14:32   0:00 /usr/bin/containerd
